LBP_P,LBP_R,RF_Trees,RF_Depth,Accuracy(%),Recall(%)
24,3,100,10,85.96,97.79
24,3,75,10,85.77,97.79
24,3,50,10,85.96,97.42
24,3,30,10,85.58,97.42
8,1,75,10,82.69,96.68
8,1,30,10,82.88,96.31
8,1,50,10,81.73,95.94
24,3,75,15,89.04,95.57
24,3,50,15,88.27,95.57
16,2,50,10,85.19,95.57
24,3,100,15,88.85,95.2
16,2,100,10,85.0,95.2
16,2,30,10,84.23,95.2
8,1,100,10,81.15,95.2
16,2,75,10,84.42,94.83
24,3,50,20,89.04,94.1
24,3,100,20,88.85,94.1
24,3,30,20,88.27,94.1
24,3,75,20,88.46,93.73
24,3,30,15,87.69,93.73
16,2,75,15,88.85,93.36
16,2,100,15,88.65,93.36
16,2,30,20,88.85,92.99
16,2,50,15,88.85,92.62
16,2,75,20,88.85,92.62
16,2,100,20,88.65,92.25
16,2,30,15,88.85,91.88
16,2,50,20,88.65,91.88
8,1,50,15,87.12,91.88
8,1,30,15,85.19,91.51
8,1,75,15,86.15,91.14
8,1,100,15,85.19,90.77
8,1,100,20,86.35,88.56
8,1,75,20,85.58,88.19
8,1,50,20,84.62,88.19
8,1,30,20,85.19,87.45
